event,start_frame,end_frame
Walk,189,218
Use_fridge,217,386
Walk,395,417
Put_something_on_table,409,417
Use_Drawer,444,485
Use_Drawer,496,519
Put_something_on_table,601,624
Use_Drawer,633,763
Walk,771,780
Use_Drawer,820,970
Cook,1020,21680
Cook.Cut,1180,1307
Walk,1461,1487
Dump_in_trash,1481,1538
Walk,1540,1609
Use_Drawer,1618,1678
Walk,1680,1705
Walk,1755,1773
Dump_in_trash,1765,1796
Walk,1800,1829
Cook.Cut,1857,2768
Cook.Cut,3056,3514
Take_something_off_table,3524,3542
Put_something_on_table,3545,3565
Take_something_off_table,3587,3601
Put_something_on_table,3906,3931
Cook.Cut,3950,4028
Cook.Cut,4059,4116
Cook.Cut,4155,4270
Cook.Cut,4361,4499
Cook.Cut,4540,4651
Cook.Cut,4701,4797
Cook.Cut,4829,4889
Cook.Cut,4929,5023
Cook.Cut,5081,5127
Cook.Cut,5180,5259
Cook.Cut,5350,5545
Cook.Cut,5614,5676
Cook.Cut,5789,5832
Cook.Cut,5893,5931
Take_something_off_table,5990,6007
Walk,5994,6025
Walk,6283,6310
Use_Drawer,6365,6380
Walk,6424,6471
Use_cupboard,6718,6896
Walk,6904,6924
Walk,6960,6988
Use_cupboard,6993,7088
Use_Drawer,7021,7089
Walk,7090,7103
Use_cupboard,7233,7310
Use_Drawer,7234,7270
Walk,7317,7329
Walk,7370,7406
Put_something_on_table,7405,7428
Walk,7433,7449
Cook.Use_oven,7484,7562
Walk,7569,7591
Walk,7747,7768
Cook.Use_oven,7768,7921
Use_cupboard,8070,8222
Use_Drawer,8117,8183
Take_pills,8243,8489
Drink.From_cup,8523,8578
Drink.From_cup,8595,8645
Take_something_off_table,8694,8716
Use_cupboard,8735,8862
Use_Drawer,8782,8813
Use_Drawer,8946,8976
Cook.Stir,9124,9200
Walk,9439,9467
Dump_in_trash,9462,9662
Walk,9664,9695
Walk,9712,9746
Cook.Stir,9772,9939
Walk,9969,10018
Put_something_on_table,9977,9997
Cook.Use_oven,10041,10054
Cook.Use_oven,10098,10220
Drink.From_cup,10366,10415
Cook.Stir,10499,10729
Put_something_on_table,10759,10782
Cook.Stir,10890,10938
Use_cupboard,10952,11092
Use_Drawer,10990,11043
Take_pills,11105,11213
Drink.From_cup,11238,11321
Use_cupboard,11358,11458
Cook.Stir,11539,11802
Walk,12733,12789
Cook.Stir,12798,12985
Walk,13515,13562
Use_Drawer,13560,13664
Cook.Stir,13705,14121
Walk,14122,14180
Cook.Stir,14193,14305
Use_cupboard,14615,14727
Use_Drawer,14669,14727
Put_something_on_table,14739,14753
Take_something_off_table,14774,14790
Take_pills,14785,14915
Put_something_on_table,14814,14827
Drink.From_cup,14918,15040
Take_something_off_table,15090,15105
Use_Drawer,15112,15138
Use_cupboard,15114,15185
Cook.Stir,15301,15536
Walk,15610,15636
Cook.Use_oven,15711,15776
Walk,15855,15903
Walk,15934,15955
Clean_dishes.Dry_up,16005,16541
Clean_dishes,16005,16541
Put_something_on_table,16484,16500
Cook.Stir,16572,16823
Walk,17112,17170
Walk,17217,17283
Use_Drawer,17315,17464
Take_something_off_table,17344,17353
Walk,17548,17569
Cook.Stir,18033,18211
Eat_snack,18222,18259
Walk,18308,18351
Eat_snack,18353,18383
Dump_in_trash,18402,18442
Walk,18448,18488
Drink.From_cup,18784,18832
Use_cupboard,18876,18970
Use_Drawer,18915,18967
Take_pills,19011,19150
Put_something_on_table,19040,19060
Drink.From_cup,19154,19211
Take_something_off_table,19247,19258
Use_cupboard,19266,19337
Use_Drawer,19266,19291
Use_Drawer,19519,19583
Use_Drawer,19628,19671
Cook.Stir,19815,19969
Cook.Stir,20008,20076
Eat_snack,20101,20126
Walk,20174,20213
Dump_in_trash,20204,20235
Walk,20247,20286
Cook.Use_oven,20350,20424
Take_something_off_table,20691,20714
Put_something_on_table,20711,20730
Cook.Use_oven,21332,21659
Put_something_on_table,21484,21505
Walk,21814,21859
Walk,21872,21892
Wipe_table,21892,21942
Walk,21945,21977
Walk,22000,22037
Use_cupboard,22128,22362
Use_Drawer,22159,22318
Put_something_on_table,22380,22415
Use_Drawer,22458,22598
Walk,22636,22664
Use_Drawer,22738,22860
Walk,23565,23603
Dump_in_trash,23590,23625
Walk,23624,23668
Take_something_off_table,23709,23726
Walk,23735,23766
Walk,23789,23867
