event,start_frame,end_frame
Walk,0,21
Enter,0,18
Make_coffee,12,2385
Make_coffee.Get_water,179,353
Dump_in_trash,586,685
Use_Drawer,821,1848
Put_something_on_table,956,987
Put_something_on_table,1414,1462
Make_coffee.Pour_grains,1556,1791
Make_coffee.Pour_water,2063,2260
Take_something_off_table,2477,2505
Take_something_off_table,2575,2591
Use_Drawer,2741,2860
Clean_dishes,2900,5540
Clean_dishes.Put_something_in_sink,2987,3046
Clean_dishes.Put_something_in_sink,3121,3187
Clean_dishes.Put_something_in_sink,3345,3387
Clean_dishes.Clean_with_water,3539,4437
Clean_dishes.Dry_up,4475,5495
Put_something_on_table,4815,4853
Take_something_off_table,4855,4871
Put_something_on_table,5191,5223
Take_something_off_table,5235,5253
Put_something_on_table,5486,5522
Take_something_off_table,5557,5569
Wipe_table,5578,5703
Take_something_off_table,6888,6909
Use_Drawer,6909,7181
Take_something_off_table,7213,7224
Walk,7229,7350
Walk,7498,7586
Pour.From_kettle,7595,7767
Walk,7800,7894
Clean_dishes,7900,9280
Clean_dishes.Clean_with_water,7952,8356
Put_something_on_table,8357,8377
Clean_dishes.Dry_up,8434,9262
Walk,9409,9499
Drink.From_cup,9521,9609
Drink.From_cup,9654,9748
Drink.From_cup,9909,10031
Walk,10065,10142
Dump_in_trash,10299,10407
Clean_dishes.Clean_with_water,10453,10613
Clean_dishes,10457,10708
Clean_dishes,10457,10709
Clean_dishes.Dry_up,10623,10694
Use_Drawer,11309,11477
Walk,11822,11911
Drink.From_cup,11938,12025
Drink.From_cup,12253,12343
Drink.From_cup,12383,12474
Drink.From_cup,12680,12754
Walk,12996,13018
Drink.From_cup,13583,13688
Walk,13792,14026
Use_fridge,14014,14149
Use_cupboard,14177,14274
Walk,14296,14436
Drink.From_cup,14304,14382
Leave,14373,14441
Enter,14445,14531
Walk,14457,14621
Drink.From_cup,14642,14731
