event,start_frame,end_frame
Take_something_off_table,597,623
Use_laptop,651,2930
Put_something_on_table,3054,3081
Take_something_off_table,3222,3250
Read,3290,11094
Take_something_off_table,11122,11135
Use_telephone,11282,12036
Put_something_on_table,12026,12043
Get_up,12068,12104
Walk,12097,12183
Walk,12753,13333
Watch_TV,14074,14242
Walk,14347,14474
Watch_TV,14538,14573
Leave,14660,14832
Enter,16388,16575
Sit_down,16659,16673
Take_something_off_table,16698,16714
Put_something_on_table,16866,16890
Take_something_off_table,16913,16934
Put_something_on_table,17012,17020
Take_pills,17096,17132
Drink.From_bottle,17148,17204
Drink.From_bottle,17242,17308
Drink.From_bottle,17358,17418
Take_something_off_table,17441,17450
Put_something_on_table,17544,17564
Take_something_off_table,17664,17676
Write,17800,19218
Put_something_on_table,19233,19260
Get_up,19349,19383
Leave,19482,19597
Enter,22307,22470
Sit_down,22654,22681
Read,23056,24235
