event,start_frame,end_frame
Enter,209,336
Walk,299,372
Sit_down,391,431
Get_up,490,541
Take_something_off_table,620,641
Put_something_on_table,677,702
Take_something_off_table,796,818
Put_something_on_table,958,978
Sit_down,976,1015
Read,1062,9747
Get_up,9763,9803
Take_something_off_table,9836,9853
Use_telephone,9850,10542
Put_something_on_table,10531,10557
Sit_down,10625,10690
Take_something_off_table,10715,10732
Drink.From_cup,10720,10824
Read,10801,12884
Put_something_on_table,10801,10814
Read,13280,25486
