event,start_frame,end_frame
Take_something_off_table,92,129
Write,441,550
Put_something_on_table,1050,1087
Get_up,1103,1128
Walk,1132,1261
Leave,1203,1445
Enter,1633,1897
Walk,1875,1983
Sit_down,1998,2042
Take_something_off_table,2052,2098
Put_something_on_table,3058,3123
Get_up,3117,3145
Sit_down,3294,3325
Lay_down,3326,3391
Get_up,5413,5523
Take_something_off_table,5622,5747
Write,6743,8635
Put_something_on_table,9994,10063
Get_up,10073,10104
Walk,10125,10265
Leave,10218,10337
Enter,11031,11223
Walk,11182,11321
Sit_down,11323,11392
Take_something_off_table,11412,11452
Read,11435,13896
Put_something_on_table,13881,13929
Lay_down,14017,14093
Get_up,16604,16691
Take_something_off_table,16725,16789
Write,16866,20031
Put_something_on_table,20281,20352
Lay_down,20423,20496
Get_up,23374,23453
Take_something_off_table,23634,23732
Write,27593,27713
Write,28330,28616
