event,start_frame,end_frame
Enter,131,147
Walk,141,174
Leave,183,209
Enter,1725,1765
Use_Drawer,1747,1867
Leave,1847,1875
Enter,2553,2574
Walk,2562,2617
Put_something_on_table,2619,2647
Put_something_on_table,2684,2699
Insert_tea_bag,2793,2838
Walk,2861,2910
Leave,2905,2913
Enter,2945,2954
Walk,2951,3017
Put_something_on_table,3032,3061
Insert_tea_bag,3049,3187
Stir_coffee/tea,3421,3498
Take_something_off_table,3513,3541
Drink.From_cup,3531,3606
Drink.From_cup,3645,3691
Drink.From_cup,3742,3790
Drink.From_cup,3889,3956
Drink.From_cup,4003,4055
Take_something_off_table,4074,4105
Walk,4105,4154
Leave,4147,4167
Enter,6146,6168
Walk,6160,6215
Put_something_on_table,6223,6252
Insert_tea_bag,6397,6713
Stir_coffee/tea,6926,6995
Take_something_off_table,7031,7054
Drink.From_cup,7043,7105
Put_something_on_table,7093,7115
Take_something_off_table,7247,7270
Drink.From_cup,7255,7310
Put_something_on_table,7294,7319
Take_something_off_table,7404,7431
Drink.From_cup,7417,7481
Put_something_on_table,7469,7495
Take_something_off_table,7503,7531
Walk,7556,7617
Leave,7604,7631
Enter,8335,8363
Use_Drawer,8339,8450
Leave,8439,8457
Enter,8546,8569
Use_Drawer,8555,8663
Leave,8639,8670
Enter,8994,9014
Walk,9006,9047
Wipe_table,9044,9227
Walk,9183,9227
Leave,9212,9235
Enter,9653,9677
Walk,9669,9700
Leave,9701,9779
Enter,10063,10085
