event,start_frame,end_frame
Enter,49,132
Walk,133,177
Leave,166,190
Enter,660,693
Walk,666,724
Cook,700,2720
Put_something_on_table,736,773
Put_something_on_table,897,926
Cook.Cut,926,1568
Cook.Cut,1673,2151
Take_something_off_table,2167,2207
Walk,2203,2289
Put_something_on_table,2282,2315
Cook.Use_stove,2313,2352
Take_something_off_table,2405,2439
Walk,2446,2483
Put_something_on_table,2573,2617
Take_something_off_table,2607,2629
Walk,2718,2757
Leave,2750,2773
Enter,3322,3354
Cook,3332,3617
Cook.Stir,3344,3480
Leave,3614,3645
Enter,3978,3997
Cook,3987,4155
Cook.Stir,4002,4131
Use_Drawer,4205,4313
Leave,4304,4353
Enter,4535,4567
Cook,4626,4870
Cook.Stir,4653,4754
Leave,4872,4921
Enter,5190,5222
Cook,5270,5555
Cook.Stir,5307,5485
Leave,5638,5687
Enter,5942,5986
Cook,6016,6208
Cook.Stir,6045,6139
Leave,6350,6426
Enter,6693,6738
Cook,6748,6940
Cook.Stir,6802,6888
Leave,7016,7203
Enter,7476,7517
Cook,7493,7638
Cook.Stir,7509,7611
Leave,7845,7890
Enter,8176,8202
Cook,8187,8372
Cook.Stir,8213,8303
Leave,8380,8416
Enter,8830,8870
Cook,8846,9027
Cook.Stir,8898,8954
Leave,9105,9146
Enter,9348,9384
Cook,9366,9610
Cook.Stir,9388,9547
Leave,9627,9671
Enter,9960,10000
Cook,9975,10145
Cook.Stir,9986,10026
Cook.Stir,10042,10095
Leave,10132,10169
Enter,10333,10369
Use_Drawer,10341,10437
Cook,10471,10574
Cook.Use_stove,10535,10571
Leave,10558,10579
Enter,10786,10819
Walk,10840,10888
Take_something_off_table,10903,10945
Walk,10970,11021
Leave,11010,11043
Enter,11288,11316
Walk,11304,11338
Leave,11345,11428
Enter,13229,13324
Walk,13325,13377
Leave,13361,13389
Enter,13494,13515
Walk,13506,13549
Leave,13541,13565
