event,start_frame,end_frame
Enter,293,322
Walk,305,371
Put_something_on_table,346,392
Walk,393,456
Leave,442,478
Enter,933,970
Walk,956,1020
Put_something_on_table,1014,1099
Leave,1102,1162
Walk,1102,1149
Enter,1593,1640
Walk,1620,1689
Put_something_on_table,1685,1773
Walk,1773,1835
Leave,1791,1836
Enter,2347,2410
Walk,2359,2444
Put_something_on_table,2425,2569
Leave,2571,2656
Walk,2577,2650
Enter,2854,2907
Walk,2882,2954
Breakfast,3078,4654
Breakfast.Cut_bread,3230,3579
Sit_down,3844,3890
Breakfast.Spread_jam_or_butter,3913,4383
Get_up,4630,4655
Walk,4655,4717
Leave,4693,4749
Enter,4855,4898
Walk,4880,4929
Sit_down,4942,4970
Breakfast,4946,5937
Breakfast.Spread_jam_or_butter,4993,5215
Breakfast.Cut_bread,5344,5492
Breakfast.Eat_at_table,5515,5552
Breakfast.Eat_at_table,5837,5869
