event,start_frame,end_frame
Use_tablet,0,653
Get_up,795,829
Walk,843,963
Leave,912,1080
Enter,1137,1352
Walk,1273,1545
Sit_down,1906,1973
Use_tablet,2204,7961
Take_something_off_table,8019,8035
Drink.From_can,8026,8164
Watch_TV,8048,8994
Put_something_on_table,8348,8368
Use_tablet,9026,16678
Watch_TV,16681,19745
Use_tablet,19746,20885
Watch_TV,20886,21437
Take_something_off_table,20988,21005
Drink.From_can,21000,21125
Drink.From_can,21180,21299
Put_something_on_table,21276,21298
Watch_TV,21617,22152
Read,22158,24152
Watch_TV,24152,28391
