event,start_frame,end_frame
Take_something_off_table,30,37
Drink.From_cup,39,92
Put_something_on_table,95,103
Get_up,185,215
Walk,220,253
Use_cupboard,251,313
Walk,336,380
Pour.From_bottle,397,499
Walk,522,557
Use_cupboard,563,635
Walk,663,762
Walk,854,942
Put_something_on_table,939,948
Sit_down,1006,1058
Use_laptop,1089,19448
Use_glasses,1154,1177
Take_something_off_table,3398,3406
Drink.From_cup,3408,3459
Put_something_on_table,3459,3468
Take_something_off_table,8112,8126
Drink.From_cup,8131,8244
Put_something_on_table,8250,8268
Take_something_off_table,10461,10473
Drink.From_cup,10478,10529
Drink.From_cup,10578,10631
Put_something_on_table,10634,10646
Use_glasses,19445,19475
Put_something_on_table,19471,19481
Get_up,19502,19530
Take_something_off_table,19535,19552
Walk,19561,19624
Walk,19691,19767
Walk,19839,19887
Take_something_off_table,19920,19954
Walk,19971,20021
Put_something_on_table,19996,20014
Sit_down,20039,20070
Take_something_off_table,20069,20082
Use_glasses,20093,20104
Read,20111,40328
Take_something_off_table,21128,21142
Put_something_on_table,21651,21659
Take_something_off_table,23655,23664
Put_something_on_table,26698,26708
Take_something_off_table,26776,26796
Put_something_on_table,33247,33255
Take_something_off_table,33729,33739
Take_something_off_table,34305,34320
Put_something_on_table,35942,35953
Take_something_off_table,35977,35990
