event,start_frame,end_frame
Drink.From_can,0,110
Watch_TV,103,126
Drink.From_can,257,342
Watch_TV,348,468
Use_tablet,476,941
Watch_TV,685,1324
Drink.From_can,976,1020
Drink.From_can,1251,1318
Put_something_on_table,1346,1366
Get_up,1385,1402
Take_something_off_table,1433,1449
Use_telephone,1450,1773
Walk,1730,1761
Leave,1749,1776
Enter,1852,1877
Use_telephone,1893,3322
Walk,1895,1920
Walk,2057,2164
Walk,2241,2344
Walk,2378,2460
Sit_down,2466,2503
Get_up,2757,2799
Walk,2790,2810
Put_something_on_table,3329,3349
Take_something_off_table,3393,3418
Sit_down,3394,3435
Watch_TV,3423,3525
Drink.From_can,3550,3625
Watch_TV,3650,3836
Watch_TV,3948,4080
Drink.From_can,4114,4179
Watch_TV,4184,4281
Put_something_on_table,4294,4306
Watch_TV,4309,5240
Take_something_off_table,5245,5263
Drink.From_can,5380,5458
Watch_TV,5481,5747
Put_something_on_table,5639,5658
Take_something_off_table,5797,5813
Use_telephone,5814,7892
Use_glasses,5933,5950
Watch_TV,6171,6211
Use_glasses,6254,6274
Get_up,6633,6669
Walk,6685,6709
Walk,6813,6846
Leave,6828,6865
Enter,6985,7013
Walk,6996,7027
Walk,7093,7175
Walk,7203,7310
Walk,7356,7417
Walk,7456,7506
Walk,7637,7687
Sit_down,7814,7851
Put_something_on_table,7865,7887
Watch_TV,7908,7933
Watch_TV,7958,8147
Watch_TV,8227,8651
Take_something_off_table,8699,8720
Watch_TV,8724,8794
Watch_TV,8823,8874
Drink.From_can,8879,8988
Watch_TV,9020,9062
Put_something_on_table,9078,9100
Watch_TV,9109,9631
Take_something_off_table,10082,10106
Drink.From_can,10194,10285
Watch_TV,10262,10311
Put_something_on_table,10358,10377
Take_something_off_table,10395,10416
Use_telephone,10417,14549
Watch_TV,10464,10492
Use_glasses,10524,10545
Use_glasses,10907,10929
Watch_TV,11774,11880
Put_something_on_table,14509,14547
Watch_TV,14580,18072
Take_something_off_table,18091,18115
Watch_TV,18126,18368
Drink.From_can,18373,18456
Watch_TV,18460,18497
Watch_TV,18668,18762
Drink.From_can,18802,18879
Watch_TV,18884,19601
Drink.From_can,19687,19737
Put_something_on_table,19828,19857
Watch_TV,19897,21982
Take_something_off_table,19989,20017
Put_something_on_table,22052,22081
Watch_TV,22121,24431
Watch_TV,24520,24742
Take_something_off_table,24753,24765
Put_something_on_table,24764,24778
Watch_TV,24799,24874
Take_something_off_table,24891,24910
Watch_TV,24957,25019
Drink.From_can,25026,25101
Watch_TV,25203,25850
Watch_TV,25940,26010
Drink.From_can,26014,26098
Put_something_on_table,26139,26160
Watch_TV,26167,27281
Watch_TV,27376,27450
Take_something_off_table,27460,27493
Use_telephone,27497,30099
Put_something_on_table,30054,30118
Watch_TV,30140,32603
Watch_TV,32757,32817
Take_something_off_table,32828,32864
Watch_TV,32876,33303
Drink.From_can,32951,33043
Drink.From_can,33229,33303
Put_something_on_table,33316,33343
Watch_TV,33353,35014
