event,start_frame,end_frame
Read,0,1500
Take_something_off_table,479,498
Drink.From_cup,731,955
Drink.From_cup,1321,1601
Put_something_on_table,1550,1622
Read,1660,14640
Take_something_off_table,14624,14677
Drink.From_cup,14671,14760
Read,14786,15021
Drink.From_cup,15007,15125
Put_something_on_table,15125,15171
Read,15183,16963
Get_up,17005,17071
Use_glasses,17075,17112
Put_something_on_table,17133,17147
Walk,17237,17346
Leave,17323,17372
Enter,17510,17539
Walk,17546,17880
Leave,17826,17895
Enter,17938,17987
Walk,17942,18053
Leave,18040,18120
Enter,18241,18270
Walk,18274,18683
Take_something_off_table,18751,18824
Put_something_on_table,18832,18865
Read,18885,19121
Walk,19041,19123
Sit_down,19156,19203
Put_something_on_table,19259,19321
Read,19351,50345
