event,start_frame,end_frame
Enter,79,84
Walk,84,192
Take_something_off_table,201,211
Use_telephone,224,1206
Walk,256,795
Sit_down,796,829
Get_up,890,914
Walk,915,996
Walk,1123,1232
Put_something_on_table,1217,1248
Take_something_off_table,1328,1362
Pour.From_bottle,1405,1478
Put_something_on_table,1523,1542
Take_something_off_table,1546,1567
Drink.From_cup,1573,1668
Put_something_on_table,1669,1697
Sit_down,1754,1792
Get_up,1989,2008
Walk,2016,2038
Take_something_off_table,2040,2053
Use_telephone,2050,3338
Walk,2083,2352
Walk,2519,2916
Walk,3102,3340
Put_something_on_table,3347,3373
Walk,3419,3448
Take_something_off_table,3439,3465
Pour.From_bottle,3507,3596
Put_something_on_table,3631,3651
Take_something_off_table,3651,3672
Drink.From_cup,3692,3800
Walk,3877,3950
Drink.From_cup,3949,4033
Walk,4106,4145
Drink.From_cup,4168,4216
Walk,4422,4462
Put_something_on_table,4461,4497
Walk,4499,4527
Take_something_off_table,4525,4553
Use_telephone,4552,5917
Walk,4590,4673
Walk,4723,4779
Walk,4803,4842
Sit_down,4843,4891
Get_up,5004,5039
Walk,5043,5286
Walk,5554,5616
Walk,5744,5870
Walk,5898,5947
Put_something_on_table,5942,5979
Take_something_off_table,6032,6066
Pour.From_bottle,6098,6151
Put_something_on_table,6200,6213
Take_something_off_table,6219,6236
Drink.From_cup,6244,6320
Walk,6513,6552
Sit_down,6553,6594
Drink.From_cup,6775,6905
Put_something_on_table,6912,6928
Take_something_off_table,6931,6945
Pour.From_bottle,7010,7108
Take_something_off_table,7584,7603
Drink.From_cup,7605,7742
Drink.From_cup,7834,7925
Drink.From_cup,8207,8326
Get_up,8475,8488
Walk,8495,8530
Take_something_off_table,8531,8549
Use_telephone,8549,9681
Walk,8589,8668
Walk,8790,8875
Walk,8892,8983
Walk,9104,9144
Walk,9187,9236
Walk,9366,9692
Put_something_on_table,9691,9714
Walk,9749,9857
Take_something_off_table,9856,9873
Sit_down,9857,9879
Pour.From_bottle,9952,10048
Drink.From_cup,10120,10199
Take_something_off_table,10271,10287
Drink.From_cup,10289,10347
Put_something_on_table,10348,10370
Take_something_off_table,10372,10386
Read,10389,14113
Put_something_on_table,14134,14156
Get_up,14156,14173
Walk,14173,14192
Take_something_off_table,14192,14206
Walk,14219,14802
Use_telephone,14235,14838
Put_something_on_table,14848,14883
Walk,14921,14963
Take_something_off_table,14983,14998
Sit_down,14998,15030
Pour.From_bottle,15030,15096
Put_something_on_table,15114,15134
Take_something_off_table,15146,15156
Drink.From_cup,15156,15210
Put_something_on_table,15213,15227
Get_up,15247,15270
Walk,15268,15330
Take_something_off_table,15319,15343
Walk,15370,15409
Sit_down,15410,15457
Read,15460,17517
Get_up,17540,17557
Walk,17562,17593
Put_something_on_table,17606,17632
Walk,17669,17725
Take_something_off_table,17672,17686
Sit_down,17733,17773
Read,17748,25108
Write,25132,25310
Read,25310,25554
