event,start_frame,end_frame
Enter,21,135
Walk,145,197
Use_fridge,219,342
Cook,280,13380
Use_Drawer,359,505
Cook.Cut,540,1311
Take_something_off_table,1306,1321
Put_something_on_table,1379,1410
Cook.Cut,1468,3043
Use_Drawer,3114,3284
Put_something_on_table,3466,3476
Put_something_on_table,3748,3792
Cook.Use_stove,3951,4099
Take_something_off_table,4017,4042
Put_something_on_table,4109,4123
Cook.Use_oven,4175,4340
Take_something_off_table,4451,4474
Take_something_off_table,4642,4660
Put_something_on_table,4682,4694
Dump_in_trash,4842,4981
Cook.Use_oven,5706,5818
Cook.Stir,5859,5989
Use_cupboard,6051,6194
Take_pills,6213,6383
Drink.From_bottle,6394,6497
Put_something_on_table,6542,6569
Use_cupboard,6603,6725
Cook.Use_oven,6740,6896
Cook.Stir,6970,7093
Cook.Use_oven,7419,7586
Cook.Stir,7679,7799
Cook.Use_oven,8160,8307
Cook.Use_stove,8751,8944
Cook.Use_oven,9019,9168
Use_cupboard,9325,9523
Cook.Stir,9582,9712
Take_pills,9858,10023
Take_something_off_table,10006,10021
Drink.From_bottle,10065,10117
Take_something_off_table,10186,10204
Use_cupboard,10242,10389
Cook.Use_oven,10403,10583
Cook.Stir,10704,10822
Use_fridge,10896,10994
Dump_in_trash,11261,11335
Eat_snack,11513,11600
Cook.Use_oven,11614,11818
Eat_snack,11819,11838
Cook.Stir,11902,12009
Cook.Use_stove,12299,12344
Cook.Use_oven,13185,13337
Dump_in_trash,13396,13465
Clean_dishes,13766,20128
Clean_dishes.Clean_with_water,13767,16371
Cook.Use_oven,14572,14763
Cook.Use_oven,16465,16573
Clean_dishes.Dry_up,16630,18937
Use_Drawer,17235,17612
Use_cupboard,17703,18439
Use_Drawer,18466,18915
Dump_in_trash,18982,19068
Cook.Use_oven,19110,19186
Put_something_on_table,19225,19238
Clean_dishes.Clean_with_water,19242,19518
Put_something_on_table,19513,19523
Clean_dishes.Dry_up,19624,20104
Wipe_table,20744,21295
Dump_in_trash,21787,22059
Walk,23263,23407
Take_something_off_table,23302,23323
Leave,23368,23398
Enter,23506,23532
Walk,23522,23594
Leave,23580,23601
