event,start_frame,end_frame
Enter,129,148
Walk,139,155
Make_coffee,166,1438
Make_coffee.Get_water,193,497
Put_something_on_table,498,519
Take_something_off_table,622,642
Make_coffee.Pour_water,646,747
Use_cupboard,890,1573
Use_Drawer,944,1524
Put_something_on_table,1167,1183
Make_coffee.Pour_grains,1276,1329
Take_something_off_table,1440,1454
Take_something_off_table,1627,1647
Make_tea,1651,2112
Get_water,1678,1943
Take_something_off_table,1946,1959
Put_something_on_table,1974,1989
Make_tea.Boil_water,1992,2110
Put_something_on_table,2456,2476
Walk,2771,2803
Use_fridge,2807,2911
Use_fridge,3169,3262
Eat_snack,3554,3661
Walk,4081,4119
Walk,4206,4234
Put_something_on_table,4230,4252
Read,4258,4381
Eat_snack,4396,4429
Read,4431,5031
Take_something_off_table,5033,5045
Walk,5051,5072
Walk,5114,5164
Use_telephone,5188,5393
Walk,5412,5457
Walk,5484,5522
Pour.From_kettle,5635,5732
Take_something_off_table,6095,6116
Walk,6120,6150
Walk,6179,6208
Put_something_on_table,6210,6226
Put_something_on_table,6431,6445
Take_something_off_table,6697,6708
Stir_coffee/tea,6766,6813
Take_something_off_table,6822,6839
Walk,6845,6887
Walk,6914,6940
Put_something_on_table,6973,6988
Walk,7020,7060
Dump_in_trash,7062,7095
Walk,7109,7158
Stir_coffee/tea,7183,7230
Take_something_off_table,7241,7263
Drink.From_cup,7265,7317
Stir_coffee/tea,7355,7416
Drink.From_cup,7451,7505
Drink.From_cup,7534,7581
Take_something_off_table,7639,7654
Put_something_on_table,7657,7673
Take_something_off_table,7675,7693
Pour.From_kettle,7717,7771
Pour.From_kettle,7812,7880
Put_something_on_table,7893,7911
Use_cupboard,8036,8264
Use_Drawer,8082,8138
Insert_tea_bag,8361,8506
Walk,8514,8569
Dump_in_trash,8571,8605
Walk,8626,8668
Take_something_off_table,8670,8681
Drink.From_cup,8682,8738
Put_something_on_table,8740,8755
Take_something_off_table,8780,8793
Walk,8803,8831
Walk,8901,8921
Put_something_on_table,8922,8939
Walk,9032,9054
Walk,9077,9094
Put_something_on_table,9096,9111
Read,9143,9446
Take_something_off_table,9447,9462
Drink.From_cup,9464,9520
Put_something_on_table,9522,9538
Read,9543,10043
Take_something_off_table,10036,10053
Drink.From_cup,10057,10117
Put_something_on_table,10119,10136
Read,10138,11070
Take_something_off_table,11074,11091
Drink.From_cup,11094,11152
Put_something_on_table,11153,11173
Read,11176,11308
