event,start_frame,end_frame
Enter,98,123
Walk,103,140
Sit_down,143,186
Use_laptop,188,4042
Take_something_off_table,712,725
Drink.From_cup,726,766
Put_something_on_table,767,779
Eat_snack,1981,2030
Take_something_off_table,2084,2097
Drink.From_cup,2100,2139
Put_something_on_table,2140,2153
Eat_snack,2518,2570
Take_something_off_table,2851,2864
Drink.From_cup,2867,2909
Put_something_on_table,2911,2923
Eat_snack,3011,3049
Take_something_off_table,3072,3083
Drink.From_cup,3087,3127
Put_something_on_table,3128,3141
Eat_snack,3436,3467
Take_something_off_table,3584,3598
Drink.From_cup,3602,3661
Put_something_on_table,3663,3678
Take_something_off_table,4019,4032
Drink.From_cup,4044,4083
Put_something_on_table,4084,4099
Get_up,4165,4208
Walk,4212,4246
Walk,4277,4324
Use_telephone,4281,4640
Walk,4626,4658
Walk,4695,4730
Sit_down,4750,4789
Take_something_off_table,4847,4859
Drink.From_cup,4864,4905
Put_something_on_table,4907,4920
Use_laptop,4921,9316
Take_something_off_table,9196,9208
Drink.From_cup,9210,9248
Put_something_on_table,9249,9261
Get_up,9319,9348
Walk,9350,9379
Walk,9890,9924
Take_something_off_table,9946,9958
Drink.From_cup,9960,10031
Put_something_on_table,10032,10044
Sit_down,10046,10123
Use_laptop,10124,14471
Get_up,14475,14509
Walk,14517,14554
Use_telephone,14577,15012
Walk,14585,14624
Sit_down,14676,14704
Get_up,14960,14980
Walk,14981,15009
Walk,15079,15120
Sit_down,15122,15173
Use_laptop,15178,20208
Take_something_off_table,19840,19852
Drink.From_cup,19854,19894
Put_something_on_table,19895,19906
Get_up,20208,20238
Walk,20241,20272
Walk,20380,20410
Pour.From_bottle,20497,20554
Walk,20586,20619
Walk,20796,20832
Sit_down,20835,20860
Put_something_on_table,20865,20875
Read,20887,21159
Take_something_off_table,21167,21178
Get_up,21174,21206
Walk,21209,21226
Walk,21271,21292
Sit_down,21309,21347
Eat_snack,21436,21468
Use_laptop,21476,21576
Take_something_off_table,21564,21576
Drink.From_cup,21578,21626
Put_something_on_table,21628,21641
Use_laptop,21676,22148
Eat_snack,22010,22093
Take_something_off_table,22116,22132
Drink.From_cup,22150,22189
Put_something_on_table,22192,22206
Use_laptop,22207,22869
Eat_snack,22569,22625
Take_something_off_table,22869,22882
Drink.From_cup,22888,22925
Put_something_on_table,22928,22941
Use_laptop,22996,23195
Eat_snack,23067,23100
Take_something_off_table,23176,23190
Drink.From_cup,23197,23242
Put_something_on_table,23246,23259
Use_laptop,23261,28376
Take_something_off_table,24340,24354
Drink.From_cup,24356,24400
Put_something_on_table,24401,24417
