event,start_frame,end_frame
Enter,0,88
Walk,93,199
Sit_down,201,222
Watch_TV,256,336
Watch_TV,351,380
Take_something_off_table,386,401
Watch_TV,390,432
Drink.From_cup,408,474
Put_something_on_table,477,488
Watch_TV,491,510
Put_something_on_table,736,750
Take_something_off_table,883,896
Drink.From_cup,929,982
Put_something_on_table,993,1005
Watch_TV,1007,1196
Watch_TV,1229,1349
Take_something_off_table,1354,1369
Watch_TV,1374,1444
Drink.From_cup,1408,1459
Put_something_on_table,1461,1476
Watch_TV,1479,1749
Take_something_off_table,1759,1770
Watch_TV,1774,1812
Drink.From_cup,1780,1839
Put_something_on_table,1842,1853
Get_up,1891,1931
Walk,1922,1967
Walk,2201,2259
Sit_down,2261,2285
Take_something_off_table,2306,2319
Drink.From_cup,2322,2432
Watch_TV,2356,2428
Put_something_on_table,2439,2456
Watch_TV,2458,2658
Take_something_off_table,2580,2593
Drink.From_cup,2597,2659
Put_something_on_table,2660,2678
Watch_TV,2682,2796
Take_something_off_table,2808,2821
Watch_TV,2825,2852
Read,2893,3156
Watch_TV,3158,3202
Read,3205,3393
Watch_TV,3395,3442
Take_something_off_table,3454,3468
Watch_TV,3465,3578
Drink.From_cup,3477,3584
Put_something_on_table,3586,3597
Watch_TV,3603,3702
Read,3705,4099
Take_something_off_table,4100,4117
Watch_TV,4111,4238
Drink.From_cup,4121,4247
Put_something_on_table,4249,4263
Read,4267,4605
Watch_TV,4608,4648
Read,4651,4818
Put_something_on_table,4837,4851
Get_up,4855,4883
Walk,4886,4923
Use_telephone,4968,5346
Walk,4969,5014
Walk,5062,5118
Walk,5160,5249
Watch_TV,5253,5323
Walk,5325,5355
Walk,5449,5507
Sit_down,5510,5538
Take_something_off_table,5560,5570
Read,5588,5960
Take_something_off_table,5961,5974
Watch_TV,5969,6083
Drink.From_cup,5976,6030
Put_something_on_table,6093,6106
Watch_TV,6108,6305
Read,6306,7166
Watch_TV,7169,7436
Take_something_off_table,7441,7459
Watch_TV,7457,7522
Drink.From_cup,7467,7511
Put_something_on_table,7527,7541
Watch_TV,7545,7786
Read,7789,8458
Watch_TV,8462,8639
Take_something_off_table,8489,8503
Drink.From_cup,8506,8562
Put_something_on_table,8575,8590
Read,8642,8803
Put_something_on_table,8809,8818
Watch_TV,8821,9987
Get_up,9999,10030
Walk,10029,10071
Use_telephone,10100,10512
Walk,10117,10169
Watch_TV,10173,10488
Walk,10460,10510
Walk,10565,10620
Sit_down,10623,10691
Watch_TV,10644,12119
Take_something_off_table,10693,10701
Drink.From_cup,10707,10759
Put_something_on_table,10765,10780
Take_something_off_table,12126,12140
Drink.From_cup,12144,12194
Watch_TV,12146,12194
Put_something_on_table,12200,12216
Watch_TV,12218,13312
Get_up,13334,13367
Walk,13370,13440
Walk,13590,13656
Sit_down,13658,13694
Take_something_off_table,13724,13740
Drink.From_cup,13743,13890
Put_something_on_table,13893,13911
Watch_TV,13915,15595
Take_something_off_table,15606,15618
Drink.From_cup,15621,15663
Put_something_on_table,15665,15678
Watch_TV,15679,16302
Take_something_off_table,16306,16319
Watch_TV,16329,16363
Read,16380,16392
Watch_TV,16395,16427
Read,16427,17465
Watch_TV,17466,17492
Read,17493,17926
Watch_TV,17926,18148
Read,18149,18196
Watch_TV,18196,18679
Read,18681,19719
Take_something_off_table,19720,19728
Drink.From_cup,19729,19785
Put_something_on_table,19785,19793
Read,19798,21068
Watch_TV,21069,21112
Read,21115,21572
Watch_TV,21574,21589
Put_something_on_table,21596,21613
Get_up,21633,21656
Watch_TV,21661,21731
Sit_down,21822,21846
Take_something_off_table,21849,21873
Read,21889,23259
Take_something_off_table,22654,22674
Drink.From_cup,22676,22721
Put_something_on_table,22722,22739
Watch_TV,23335,24212
Watch_TV,24254,25626
Get_up,25638,25662
Walk,25668,25716
Use_telephone,25756,26338
Walk,25758,25861
Walk,25904,26086
Walk,26289,26336
Walk,26389,26457
Sit_down,26461,26497
Watch_TV,26569,26621
Take_something_off_table,26623,26637
Watch_TV,26639,26687
Read,26744,27147
Watch_TV,26845,26866
