,captions
0,Read
1,Read
2,Read
3,Read
4,Read
5,Read
6,Read
7,Read
8,Read
9,Read
10,Read
11,Read
12,Read
13,Read
14,Read
15,Read
16,Read
17,Read
18,Read
19,Read
20,Read
21,Read
22,Read
23,Read
24,Read
25,Read
26,Read
27,Read
28,Read
29,Read
30,Read
31,Read
32,Read
33,Read
34,Read
35,Read
36,Read
37,Read
38,Read
39,Read
40,Read
41,Read
42,Read
43,Read
44,Read
45,Read
46,Read
47,Read
48,Use_laptop
49,Use_laptop
50,Use_laptop
51,Use_laptop
52,Use_laptop
53,Use_laptop
54,Use_laptop
55,Use_laptop
56,Use_laptop
57,Use_laptop
58,Use_laptop
59,Use_laptop
60,Use_laptop
61,Use_laptop
62,Use_laptop
63,Use_laptop
64,Use_laptop
65,Use_laptop
66,Use_laptop
67,Use_laptop
68,Use_laptop
69,Use_laptop
70,Use_laptop
71,Use_laptop
72,Use_laptop
73,Use_laptop
74,Use_laptop
75,Use_laptop
76,Use_laptop
77,Use_laptop
78,Use_laptop
79,Use_laptop
80,Use_laptop
81,Use_laptop
82,Use_laptop
83,Use_laptop
84,Use_laptop
85,Use_laptop
86,Use_laptop
87,Use_laptop
88,Use_laptop
89,Use_laptop
90,Use_laptop
91,Use_laptop
92,Use_laptop
93,Use_laptop
94,Use_laptop
95,Use_laptop
