,captions
0,Read
1,Read
2,Read
3,Read
4,Read
5,Read
6,Read
7,Read
8,Read
9,Read
10,Read
11,Read
12,Read
13,Read
14,Read
15,Read
16,Read
17,Read
18,Read
19,Read
20,Read
21,Read
22,Read
23,Read
24,Read
25,Read
26,Read
27,Read
28,Read
29,Read
30,Read
31,Read
32,Read
33,Read
34,Read
35,Read
36,Read
37,Read
38,Read
39,Read
40,Read
41,Read
42,Read
43,Read
44,Read
45,Read
46,Read
47,Read
48,Use_telephone
49,Use_telephone
50,Use_telephone
51,Use_telephone
52,Use_telephone
53,Use_telephone
54,Use_telephone
55,Use_telephone
56,Use_telephone
57,Use_telephone
58,Use_telephone
59,Use_telephone
60,Use_telephone
61,Use_telephone
62,Use_telephone
63,Use_telephone
64,Use_telephone
65,Use_telephone
66,Use_telephone
67,Use_telephone
68,Use_telephone
69,Use_telephone
70,Use_telephone
71,Use_telephone
72,Use_telephone
73,Use_telephone
74,Use_telephone
75,Use_telephone
76,Use_telephone
77,Use_telephone
78,Use_telephone
79,Use_telephone
80,Use_telephone
81,Use_telephone
82,Use_telephone
83,Use_telephone
84,Use_telephone
85,Use_telephone
86,Use_telephone
87,Use_telephone
88,Use_telephone
89,Use_telephone
90,Use_telephone
91,Use_telephone
92,Use_telephone
93,Use_telephone
94,Use_telephone
95,Use_telephone
