,captions
0,Watch_TV
1,Watch_TV
2,Watch_TV
3,Watch_TV
4,Watch_TV
5,Watch_TV
6,Watch_TV
7,Watch_TV
8,Watch_TV
9,Watch_TV
10,Watch_TV
11,Watch_TV
12,Watch_TV
13,Watch_TV
14,Watch_TV
15,Watch_TV
16,Drink.From_cup
17,Drink.From_cup
18,Drink.From_cup
19,Drink.From_cup
20,Drink.From_cup
21,Drink.From_cup
22,Drink.From_cup
23,Drink.From_cup
24,Drink.From_cup
25,Drink.From_cup
26,Drink.From_cup
27,Drink.From_cup
28,Drink.From_cup
29,Drink.From_cup
30,Drink.From_cup
31,Drink.From_cup
32,Drink.From_cup
33,Drink.From_cup
34,Drink.From_cup
35,Drink.From_cup
36,Drink.From_cup
37,Drink.From_cup
38,Drink.From_cup
39,Drink.From_cup
40,Drink.From_cup
41,Drink.From_cup
42,Drink.From_cup
43,Drink.From_cup
44,Drink.From_cup
45,Drink.From_cup
46,Drink.From_cup
47,Drink.From_cup
48,Watch_TV
49,Watch_TV
50,Watch_TV
51,Watch_TV
52,Watch_TV
53,Watch_TV
54,Watch_TV
55,Watch_TV
56,Watch_TV
57,Watch_TV
58,Watch_TV
59,Watch_TV
60,Watch_TV
61,Watch_TV
62,Watch_TV
63,Watch_TV
64,Drink.From_cup
65,Drink.From_cup
66,Drink.From_cup
67,Drink.From_cup
68,Drink.From_cup
69,Drink.From_cup
70,Drink.From_cup
71,Drink.From_cup
72,Drink.From_cup
73,Drink.From_cup
74,Drink.From_cup
75,Drink.From_cup
76,Drink.From_cup
77,Drink.From_cup
78,Drink.From_cup
79,Drink.From_cup
80,Use_telephone
81,Use_telephone
82,Use_telephone
83,Use_telephone
84,Use_telephone
85,Use_telephone
86,Use_telephone
87,Use_telephone
88,Use_telephone
89,Use_telephone
90,Use_telephone
91,Use_telephone
92,Use_telephone
93,Use_telephone
94,Use_telephone
95,Use_telephone
