,captions
0,Put_something_on_table
1,Put_something_on_table
2,Put_something_on_table
3,Put_something_on_table
4,Put_something_on_table
5,Put_something_on_table
6,Put_something_on_table
7,Put_something_on_table
8,Put_something_on_table
9,Put_something_on_table
10,Put_something_on_table
11,Put_something_on_table
12,Put_something_on_table
13,Put_something_on_table
14,Put_something_on_table
15,Put_something_on_table
16,Breakfast
17,Breakfast
18,Breakfast
19,Breakfast
20,Breakfast
21,Breakfast
22,Breakfast
23,Breakfast
24,Breakfast
25,Breakfast
26,Breakfast
27,Breakfast
28,Breakfast
29,Breakfast
30,Breakfast
31,Breakfast
32,Breakfast
33,Breakfast
34,Breakfast
35,Breakfast
36,Breakfast
37,Breakfast
38,Breakfast
39,Breakfast
40,Breakfast
41,Breakfast
42,Breakfast
43,Breakfast
44,Breakfast
45,Breakfast
46,Breakfast
47,Breakfast
48,Read
49,Read
50,Read
51,Read
52,Read
53,Read
54,Read
55,Read
56,Read
57,Read
58,Read
59,Read
60,Read
61,Read
62,Read
63,Read
64,Read
65,Read
66,Read
67,Read
68,Read
69,Read
70,Read
71,Read
72,Read
73,Read
74,Read
75,Read
76,Read
77,Read
78,Read
79,Read
80,Read
81,Read
82,Read
83,Read
84,Read
85,Read
86,Read
87,Read
88,Read
89,Read
90,Read
91,Read
92,Read
93,Read
94,Read
95,Read
