,captions
0,Leave
1,Leave
2,Leave
3,Leave
4,Leave
5,Leave
6,Leave
7,Leave
8,Leave
9,Leave
10,Leave
11,Leave
12,Leave
13,Leave
14,Leave
15,Leave
16,Leave
17,Leave
18,Leave
19,Leave
20,Leave
21,Leave
22,Leave
23,Leave
24,Leave
25,Leave
26,Leave
27,Leave
28,Leave
29,Leave
30,Leave
31,Leave
32,Leave
33,Leave
34,Leave
35,Leave
36,Leave
37,Leave
38,Leave
39,Leave
40,Leave
41,Leave
42,Leave
43,Leave
44,Leave
45,Leave
46,Leave
47,Leave
48,Watch_TV
49,Watch_TV
50,Watch_TV
51,Watch_TV
52,Watch_TV
53,Watch_TV
54,Watch_TV
55,Watch_TV
56,Watch_TV
57,Watch_TV
58,Watch_TV
59,Watch_TV
60,Watch_TV
61,Watch_TV
62,Watch_TV
63,Watch_TV
64,Write
65,Write
66,Write
67,Write
68,Write
69,Write
70,Write
71,Write
72,Write
73,Write
74,Write
75,Write
76,Write
77,Write
78,Write
79,Write
80,Write
81,Write
82,Write
83,Write
84,Write
85,Write
86,Write
87,Write
88,Write
89,Write
90,Write
91,Write
92,Write
93,Write
94,Write
95,Write
