,captions
0,Make_tea.Boil_water
1,Make_tea.Boil_water
2,Make_tea.Boil_water
3,Make_tea.Boil_water
4,Make_tea.Boil_water
5,Make_tea.Boil_water
6,Make_tea.Boil_water
7,Make_tea.Boil_water
8,Make_tea.Boil_water
9,Make_tea.Boil_water
10,Make_tea.Boil_water
11,Make_tea.Boil_water
12,Make_tea.Boil_water
13,Make_tea.Boil_water
14,Make_tea.Boil_water
15,Make_tea.Boil_water
16,Make_tea.Boil_water
17,Make_tea.Boil_water
18,Make_tea.Boil_water
19,Make_tea.Boil_water
20,Make_tea.Boil_water
21,Make_tea.Boil_water
22,Make_tea.Boil_water
23,Make_tea.Boil_water
24,Make_tea.Boil_water
25,Make_tea.Boil_water
26,Make_tea.Boil_water
27,Make_tea.Boil_water
28,Make_tea.Boil_water
29,Make_tea.Boil_water
30,Make_tea.Boil_water
31,Make_tea.Boil_water
32,Put_something_on_table
33,Put_something_on_table
34,Put_something_on_table
35,Put_something_on_table
36,Put_something_on_table
37,Put_something_on_table
38,Put_something_on_table
39,Put_something_on_table
40,Put_something_on_table
41,Put_something_on_table
42,Put_something_on_table
43,Put_something_on_table
44,Put_something_on_table
45,Put_something_on_table
46,Put_something_on_table
47,Put_something_on_table
48,Read
49,Read
50,Read
51,Read
52,Read
53,Read
54,Read
55,Read
56,Read
57,Read
58,Read
59,Read
60,Read
61,Read
62,Read
63,Read
64,Read
65,Read
66,Read
67,Read
68,Read
69,Read
70,Read
71,Read
72,Read
73,Read
74,Read
75,Read
76,Read
77,Read
78,Read
79,Read
80,Read
81,Read
82,Read
83,Read
84,Read
85,Read
86,Read
87,Read
88,Read
89,Read
90,Read
91,Read
92,Read
93,Read
94,Read
95,Read
