,captions
0,Use_cupboard
1,Use_cupboard
2,Use_cupboard
3,Use_cupboard
4,Use_cupboard
5,Use_cupboard
6,Use_cupboard
7,Use_cupboard
8,Use_cupboard
9,Use_cupboard
10,Use_cupboard
11,Use_cupboard
12,Use_cupboard
13,Use_cupboard
14,Use_cupboard
15,Use_cupboard
16,Use_cupboard
17,Use_cupboard
18,Use_cupboard
19,Use_cupboard
20,Use_cupboard
21,Use_cupboard
22,Use_cupboard
23,Use_cupboard
24,Use_cupboard
25,Use_cupboard
26,Use_cupboard
27,Use_cupboard
28,Use_cupboard
29,Use_cupboard
30,Use_cupboard
31,Use_cupboard
32,Use_cupboard
33,Use_cupboard
34,Use_cupboard
35,Use_cupboard
36,Use_cupboard
37,Use_cupboard
38,Use_cupboard
39,Use_cupboard
40,Use_cupboard
41,Use_cupboard
42,Use_cupboard
43,Use_cupboard
44,Use_cupboard
45,Use_cupboard
46,Use_cupboard
47,Use_cupboard
48,Leave
49,Leave
50,Leave
51,Leave
52,Leave
53,Leave
54,Leave
55,Leave
56,Leave
57,Leave
58,Leave
59,Leave
60,Leave
61,Leave
62,Leave
63,Leave
64,Clean_dishes
65,Clean_dishes
66,Clean_dishes
67,Clean_dishes
68,Clean_dishes
69,Clean_dishes
70,Clean_dishes
71,Clean_dishes
72,Clean_dishes
73,Clean_dishes
74,Clean_dishes
75,Clean_dishes
76,Clean_dishes
77,Clean_dishes
78,Clean_dishes
79,Clean_dishes
80,Leave
81,Leave
82,Leave
83,Leave
84,Leave
85,Leave
86,Leave
87,Leave
88,Leave
89,Leave
90,Leave
91,Leave
92,Leave
93,Leave
94,Leave
95,Leave
