,captions
0,Enter
1,Enter
2,Enter
3,Enter
4,Enter
5,Enter
6,Enter
7,Enter
8,Enter
9,Enter
10,Enter
11,Enter
12,Enter
13,Enter
14,Enter
15,Enter
16,Enter
17,Enter
18,Enter
19,Enter
20,Enter
21,Enter
22,Enter
23,Enter
24,Enter
25,Enter
26,Enter
27,Enter
28,Enter
29,Enter
30,Enter
31,Enter
32,Enter
33,Enter
34,Enter
35,Enter
36,Enter
37,Enter
38,Enter
39,Enter
40,Enter
41,Enter
42,Enter
43,Enter
44,Enter
45,Enter
46,Enter
47,Enter
48,Enter
49,Enter
50,Enter
51,Enter
52,Enter
53,Enter
54,Enter
55,Enter
56,Enter
57,Enter
58,Enter
59,Enter
60,Enter
61,Enter
62,Enter
63,Enter
64,Enter
65,Enter
66,Enter
67,Enter
68,Enter
69,Enter
70,Enter
71,Enter
72,Enter
73,Enter
74,Enter
75,Enter
76,Enter
77,Enter
78,Enter
79,Enter
80,Enter
81,Enter
82,Enter
83,Enter
84,Enter
85,Enter
86,Enter
87,Enter
88,Enter
89,Enter
90,Enter
91,Enter
92,Enter
93,Enter
94,Enter
95,Enter
96,Enter
97,Enter
98,Enter
99,Enter
100,Enter
101,Enter
102,Enter
103,Enter
104,Enter
105,Enter
106,Enter
107,Enter
108,Enter
109,Enter
110,Enter
111,Enter
112,Enter
113,Enter
114,Enter
115,Enter
116,Enter
117,Enter
118,Enter
119,Enter
120,Enter
121,Enter
122,Enter
123,Enter
124,Enter
125,Enter
126,Enter
127,Enter
128,Walk
129,Walk
130,Walk
131,Walk
132,Walk
133,Walk
134,Walk
135,Walk
136,Walk
137,Walk
138,Walk
139,Walk
140,Walk
141,Walk
142,Walk
143,Walk
144,Walk
145,Walk
146,Walk
147,Walk
148,Walk
149,Walk
150,Walk
151,Walk
152,Walk
153,Walk
154,Walk
155,Walk
156,Walk
157,Walk
158,Walk
159,Walk
160,Walk
161,Walk
162,Walk
163,Walk
164,Walk
165,Walk
166,Walk
167,Walk
168,Walk
169,Walk
170,Walk
171,Walk
172,Walk
173,Walk
174,Walk
175,Walk
176,Walk
177,Walk
178,Walk
179,Walk
180,Walk
181,Walk
182,Walk
183,Walk
184,Walk
185,Walk
186,Walk
187,Walk
188,Walk
189,Walk
190,Walk
191,Walk
192,Leave
193,Leave
194,Leave
195,Leave
196,Leave
197,Leave
198,Leave
199,Leave
200,Leave
201,Leave
202,Leave
203,Leave
204,Leave
205,Leave
206,Leave
207,Leave
208,Leave
209,Leave
210,Leave
211,Leave
212,Leave
213,Leave
214,Leave
215,Leave
216,Leave
217,Leave
218,Leave
219,Leave
220,Leave
221,Leave
222,Leave
223,Leave
224,Leave
225,Leave
226,Leave
227,Leave
228,Leave
229,Leave
230,Leave
231,Leave
232,Leave
233,Leave
234,Leave
235,Leave
236,Leave
237,Leave
238,Leave
239,Leave
240,Leave
241,Leave
242,Leave
243,Leave
244,Leave
245,Leave
246,Leave
247,Leave
248,Leave
249,Leave
250,Leave
251,Leave
252,Leave
253,Leave
254,Leave
255,Leave
256,Leave
257,Leave
258,Leave
259,Leave
260,Leave
261,Leave
262,Leave
263,Leave
264,Leave
265,Leave
266,Leave
267,Leave
268,Leave
269,Leave
270,Leave
271,Leave
272,Drink.From_cup
273,Drink.From_cup
274,Drink.From_cup
275,Drink.From_cup
276,Drink.From_cup
277,Drink.From_cup
278,Drink.From_cup
279,Drink.From_cup
280,Drink.From_cup
281,Drink.From_cup
282,Drink.From_cup
283,Drink.From_cup
284,Drink.From_cup
285,Drink.From_cup
286,Drink.From_cup
287,Drink.From_cup
288,Drink.From_cup
289,Drink.From_cup
290,Drink.From_cup
291,Drink.From_cup
292,Drink.From_cup
293,Drink.From_cup
294,Drink.From_cup
295,Drink.From_cup
296,Drink.From_cup
297,Drink.From_cup
298,Drink.From_cup
299,Drink.From_cup
300,Drink.From_cup
301,Drink.From_cup
302,Drink.From_cup
303,Drink.From_cup
304,Drink.From_cup
305,Drink.From_cup
306,Drink.From_cup
307,Drink.From_cup
308,Drink.From_cup
309,Drink.From_cup
310,Drink.From_cup
311,Drink.From_cup
312,Drink.From_cup
313,Drink.From_cup
314,Drink.From_cup
315,Drink.From_cup
316,Drink.From_cup
317,Drink.From_cup
318,Drink.From_cup
319,Drink.From_cup
320,Drink.From_cup
321,Drink.From_cup
322,Drink.From_cup
323,Drink.From_cup
324,Drink.From_cup
325,Drink.From_cup
326,Drink.From_cup
327,Drink.From_cup
328,Drink.From_cup
329,Drink.From_cup
330,Drink.From_cup
331,Drink.From_cup
332,Drink.From_cup
333,Drink.From_cup
334,Drink.From_cup
335,Drink.From_cup
336,Drink.From_cup
337,Drink.From_cup
338,Drink.From_cup
339,Drink.From_cup
340,Drink.From_cup
341,Drink.From_cup
342,Drink.From_cup
343,Drink.From_cup
344,Drink.From_cup
345,Drink.From_cup
346,Drink.From_cup
347,Drink.From_cup
348,Drink.From_cup
349,Drink.From_cup
350,Drink.From_cup
351,Drink.From_cup
352,Drink.From_cup
353,Drink.From_cup
354,Drink.From_cup
355,Drink.From_cup
356,Drink.From_cup
357,Drink.From_cup
358,Drink.From_cup
359,Drink.From_cup
360,Drink.From_cup
361,Drink.From_cup
362,Drink.From_cup
363,Drink.From_cup
364,Drink.From_cup
365,Drink.From_cup
366,Drink.From_cup
367,Drink.From_cup
368,Drink.From_cup
369,Drink.From_cup
370,Drink.From_cup
371,Drink.From_cup
372,Drink.From_cup
373,Drink.From_cup
374,Drink.From_cup
375,Drink.From_cup
376,Drink.From_cup
377,Drink.From_cup
378,Drink.From_cup
379,Drink.From_cup
380,Drink.From_cup
381,Drink.From_cup
382,Drink.From_cup
383,Drink.From_cup
384,Drink.From_cup
385,Drink.From_cup
386,Drink.From_cup
387,Drink.From_cup
388,Drink.From_cup
389,Drink.From_cup
390,Drink.From_cup
391,Drink.From_cup
392,Drink.From_cup
393,Drink.From_cup
394,Drink.From_cup
395,Drink.From_cup
396,Drink.From_cup
397,Drink.From_cup
398,Drink.From_cup
399,Drink.From_cup
400,Drink.From_cup
401,Drink.From_cup
402,Drink.From_cup
403,Drink.From_cup
404,Drink.From_cup
405,Drink.From_cup
406,Drink.From_cup
407,Drink.From_cup
408,Drink.From_cup
409,Drink.From_cup
410,Drink.From_cup
411,Drink.From_cup
412,Drink.From_cup
413,Drink.From_cup
414,Drink.From_cup
415,Drink.From_cup
416,Drink.From_cup
417,Drink.From_cup
418,Drink.From_cup
419,Drink.From_cup
420,Drink.From_cup
421,Drink.From_cup
422,Drink.From_cup
423,Drink.From_cup
424,Drink.From_cup
425,Drink.From_cup
426,Drink.From_cup
427,Drink.From_cup
428,Drink.From_cup
429,Drink.From_cup
430,Drink.From_cup
431,Drink.From_cup
432,Drink.From_cup
433,Drink.From_cup
434,Drink.From_cup
435,Drink.From_cup
436,Drink.From_cup
437,Drink.From_cup
