,captions
0,Watch_TV
1,Watch_TV
2,Watch_TV
3,Watch_TV
4,Watch_TV
5,Watch_TV
6,Watch_TV
7,Watch_TV
8,Watch_TV
9,Watch_TV
10,Watch_TV
11,Watch_TV
12,Watch_TV
13,Watch_TV
14,Watch_TV
15,Watch_TV
16,Walk
17,Walk
18,Walk
19,Walk
20,Walk
21,Walk
22,Walk
23,Walk
24,Walk
25,Walk
26,Walk
27,Walk
28,Walk
29,Walk
30,Walk
31,Walk
32,Walk
33,Walk
34,Walk
35,Walk
36,Walk
37,Walk
38,Walk
39,Walk
40,Walk
41,Walk
42,Walk
43,Walk
44,Walk
45,Walk
46,Walk
47,Walk
48,Read
49,Read
50,Read
51,Read
52,Read
53,Read
54,Read
55,Read
56,Read
57,Read
58,Read
59,Read
60,Read
61,Read
62,Read
63,Read
64,Read
65,Read
66,Read
67,Read
68,Read
69,Read
70,Read
71,Read
72,Read
73,Read
74,Read
75,Read
76,Read
77,Read
78,Read
79,Read
80,Read
81,Read
82,Read
83,Read
84,Read
85,Read
86,Read
87,Read
88,Read
89,Read
90,Read
91,Read
92,Read
93,Read
94,Read
95,Read
