,captions
0,Leave
1,Leave
2,Leave
3,Leave
4,Leave
5,Leave
6,Leave
7,Leave
8,Leave
9,Leave
10,Leave
11,Leave
12,Leave
13,Leave
14,Leave
15,Leave
16,Leave
17,Leave
18,Leave
19,Leave
20,Leave
21,Leave
22,Leave
23,Leave
24,Leave
25,Leave
26,Leave
27,Leave
28,Leave
29,Leave
30,Leave
31,Leave
32,Leave
33,Leave
34,Leave
35,Leave
36,Leave
37,Leave
38,Leave
39,Leave
40,Leave
41,Leave
42,Leave
43,Leave
44,Leave
45,Leave
46,Leave
47,Leave
48,Leave
49,Leave
50,Leave
51,Leave
52,Leave
53,Leave
54,Leave
55,Leave
56,Leave
57,Leave
58,Leave
59,Leave
60,Leave
61,Leave
62,Leave
63,Leave
64,Leave
65,Leave
66,Leave
67,Leave
68,Leave
69,Leave
70,Leave
71,Leave
72,Leave
73,Leave
74,Leave
75,Leave
76,Leave
77,Leave
78,Leave
79,Leave
80,Enter
81,Enter
82,Enter
83,Enter
84,Enter
85,Enter
86,Enter
87,Enter
88,Enter
89,Enter
90,Enter
91,Enter
92,Enter
93,Enter
94,Enter
95,Enter
96,Enter
97,Enter
98,Enter
99,Enter
100,Enter
101,Enter
102,Enter
103,Enter
104,Enter
105,Enter
106,Enter
107,Enter
108,Enter
109,Enter
110,Enter
111,Enter
112,Enter
113,Enter
114,Enter
115,Enter
116,Enter
117,Enter
118,Enter
119,Enter
120,Enter
121,Enter
122,Enter
123,Enter
124,Enter
125,Enter
126,Enter
127,Enter
128,Use_Drawer
129,Use_Drawer
130,Use_Drawer
131,Use_Drawer
132,Use_Drawer
133,Use_Drawer
134,Use_Drawer
135,Use_Drawer
136,Use_Drawer
137,Use_Drawer
138,Use_Drawer
139,Use_Drawer
140,Use_Drawer
141,Use_Drawer
142,Use_Drawer
143,Use_Drawer
144,Cook.Cut
145,Cook.Cut
146,Cook.Cut
147,Cook.Cut
148,Cook.Cut
149,Cook.Cut
150,Cook.Cut
151,Cook.Cut
152,Cook.Cut
153,Cook.Cut
154,Cook.Cut
155,Cook.Cut
156,Cook.Cut
157,Cook.Cut
158,Cook.Cut
159,Cook.Cut
160,Use_Drawer
161,Use_Drawer
162,Use_Drawer
163,Use_Drawer
164,Use_Drawer
165,Use_Drawer
166,Use_Drawer
167,Use_Drawer
168,Use_Drawer
169,Use_Drawer
170,Use_Drawer
171,Use_Drawer
172,Use_Drawer
173,Use_Drawer
174,Use_Drawer
175,Use_Drawer
176,Enter
177,Enter
178,Enter
179,Enter
180,Enter
181,Enter
182,Enter
183,Enter
184,Enter
185,Enter
186,Enter
187,Enter
188,Enter
189,Enter
190,Enter
191,Enter
192,Enter
193,Enter
194,Enter
195,Enter
196,Enter
197,Enter
198,Enter
199,Enter
200,Enter
201,Enter
202,Enter
203,Enter
204,Enter
205,Enter
206,Enter
207,Enter
208,Enter
209,Enter
210,Enter
211,Enter
212,Enter
213,Enter
214,Enter
215,Enter
216,Enter
217,Enter
218,Enter
219,Enter
220,Enter
221,Enter
222,Enter
223,Enter
224,Enter
225,Enter
226,Enter
227,Enter
228,Enter
229,Enter
230,Enter
231,Enter
232,Enter
233,Enter
234,Enter
235,Enter
236,Enter
237,Enter
238,Enter
239,Enter
240,Enter
241,Enter
242,Enter
243,Enter
244,Enter
245,Enter
246,Enter
247,Enter
248,Enter
249,Enter
250,Enter
251,Enter
252,Enter
253,Enter
254,Enter
255,Enter
256,Enter
257,Enter
258,Enter
259,Enter
260,Enter
261,Enter
262,Enter
263,Enter
264,Enter
265,Enter
266,Enter
267,Enter
268,Enter
269,Enter
270,Enter
271,Enter
272,Enter
273,Enter
274,Enter
275,Enter
276,Enter
