,captions
0,Walk
1,Walk
2,Walk
3,Walk
4,Walk
5,Walk
6,Walk
7,Walk
8,Walk
9,Walk
10,Walk
11,Walk
12,Walk
13,Walk
14,Walk
15,Walk
16,Watch_TV
17,Watch_TV
18,Watch_TV
19,Watch_TV
20,Watch_TV
21,Watch_TV
22,Watch_TV
23,Watch_TV
24,Watch_TV
25,Watch_TV
26,Watch_TV
27,Watch_TV
28,Watch_TV
29,Watch_TV
30,Watch_TV
31,Watch_TV
32,Walk
33,Walk
34,Walk
35,Walk
36,Walk
37,Walk
38,Walk
39,Walk
40,Walk
41,Walk
42,Walk
43,Walk
44,Walk
45,Walk
46,Walk
47,Walk
48,Read
49,Read
50,Read
51,Read
52,Read
53,Read
54,Read
55,Read
56,Read
57,Read
58,Read
59,Read
60,Read
61,Read
62,Read
63,Read
64,Read
65,Read
66,Read
67,Read
68,Read
69,Read
70,Read
71,Read
72,Read
73,Read
74,Read
75,Read
76,Read
77,Read
78,Read
79,Read
80,Read
81,Read
82,Read
83,Read
84,Read
85,Read
86,Read
87,Read
88,Read
89,Read
90,Read
91,Read
92,Read
93,Read
94,Read
95,Read
