,captions
0,Enter
1,Enter
2,Enter
3,Enter
4,Enter
5,Enter
6,Enter
7,Enter
8,Enter
9,Enter
10,Enter
11,Enter
12,Enter
13,Enter
14,Enter
15,Enter
16,Enter
17,Enter
18,Enter
19,Enter
20,Enter
21,Enter
22,Enter
23,Enter
24,Enter
25,Enter
26,Enter
27,Enter
28,Enter
29,Enter
30,Enter
31,Enter
32,Enter
33,Enter
34,Enter
35,Enter
36,Enter
37,Enter
38,Enter
39,Enter
40,Enter
41,Enter
42,Enter
43,Enter
44,Enter
45,Enter
46,Enter
47,Enter
48,Walk
49,Walk
50,Walk
51,Walk
52,Walk
53,Walk
54,Walk
55,Walk
56,Walk
57,Walk
58,Walk
59,Walk
60,Walk
61,Walk
62,Walk
63,Walk
64,Walk
65,Walk
66,Walk
67,Walk
68,Walk
69,Walk
70,Walk
71,Walk
72,Walk
73,Walk
74,Walk
75,Walk
76,Walk
77,Walk
78,Walk
79,Walk
80,Walk
81,Walk
82,Walk
83,Walk
84,Walk
85,Walk
86,Walk
87,Walk
88,Walk
89,Walk
90,Walk
91,Walk
92,Walk
93,Walk
94,Walk
95,Walk
