,captions
0,Put_something_on_table
1,Put_something_on_table
2,Put_something_on_table
3,Put_something_on_table
4,Put_something_on_table
5,Put_something_on_table
6,Put_something_on_table
7,Put_something_on_table
8,Put_something_on_table
9,Put_something_on_table
10,Put_something_on_table
11,Put_something_on_table
12,Put_something_on_table
13,Put_something_on_table
14,Put_something_on_table
15,Put_something_on_table
16,Put_something_on_table
17,Put_something_on_table
18,Put_something_on_table
19,Put_something_on_table
20,Put_something_on_table
21,Put_something_on_table
22,Put_something_on_table
23,Put_something_on_table
24,Put_something_on_table
25,Put_something_on_table
26,Put_something_on_table
27,Put_something_on_table
28,Put_something_on_table
29,Put_something_on_table
30,Put_something_on_table
31,Put_something_on_table
32,Put_something_on_table
33,Put_something_on_table
34,Put_something_on_table
35,Put_something_on_table
36,Put_something_on_table
37,Put_something_on_table
38,Put_something_on_table
39,Put_something_on_table
40,Put_something_on_table
41,Put_something_on_table
42,Put_something_on_table
43,Put_something_on_table
44,Put_something_on_table
45,Put_something_on_table
46,Put_something_on_table
47,Put_something_on_table
48,Write
49,Write
50,Write
51,Write
52,Write
53,Write
54,Write
55,Write
56,Write
57,Write
58,Write
59,Write
60,Write
61,Write
62,Write
63,Write
64,Write
65,Write
66,Write
67,Write
68,Write
69,Write
70,Write
71,Write
72,Write
73,Write
74,Write
75,Write
76,Write
77,Write
78,Write
79,Write
80,Write
81,Write
82,Write
83,Write
84,Write
85,Write
86,Write
87,Write
88,Write
89,Write
90,Write
91,Write
92,Write
93,Write
94,Write
95,Write
