,captions
0,Get_up
1,Get_up
2,Get_up
3,Get_up
4,Get_up
5,Get_up
6,Get_up
7,Get_up
8,Get_up
9,Get_up
10,Get_up
11,Get_up
12,Get_up
13,Get_up
14,Get_up
15,Get_up
16,Get_up
17,Get_up
18,Get_up
19,Get_up
20,Get_up
21,Get_up
22,Get_up
23,Get_up
24,Get_up
25,Get_up
26,Get_up
27,Get_up
28,Get_up
29,Get_up
30,Get_up
31,Get_up
32,Walk
33,Walk
34,Walk
35,Walk
36,Walk
37,Walk
38,Walk
39,Walk
40,Walk
41,Walk
42,Walk
43,Walk
44,Walk
45,Walk
46,Walk
47,Walk
48,Walk
49,Walk
50,Walk
51,Walk
52,Walk
53,Walk
54,Walk
55,Walk
56,Walk
57,Walk
58,Walk
59,Walk
60,Walk
61,Walk
62,Walk
63,Walk
64,Walk
65,Walk
66,Walk
67,Walk
68,Walk
69,Walk
70,Walk
71,Walk
72,Walk
73,Walk
74,Walk
75,Walk
76,Walk
77,Walk
78,Walk
79,Walk
80,Walk
81,Walk
82,Walk
83,Walk
84,Walk
85,Walk
86,Walk
87,Walk
88,Walk
89,Walk
90,Walk
91,Walk
92,Walk
93,Walk
94,Walk
95,Walk
