,captions
0,Read
1,Read
2,Read
3,Read
4,Read
5,Read
6,Read
7,Read
8,Read
9,Read
10,Read
11,Read
12,Read
13,Read
14,Read
15,Read
16,Read
17,Read
18,Read
19,Read
20,Read
21,Read
22,Read
23,Read
24,Read
25,Read
26,Read
27,Read
28,Read
29,Read
30,Read
31,Read
32,Read
33,Read
34,Read
35,Read
36,Read
37,Read
38,Read
39,Read
40,Read
41,Read
42,Read
43,Read
44,Read
45,Read
46,Read
47,Read
48,Walk
49,Walk
50,Walk
51,Walk
52,Walk
53,Walk
54,Walk
55,Walk
56,Walk
57,Walk
58,Walk
59,Walk
60,Walk
61,Walk
62,Walk
63,Walk
64,Walk
65,Walk
66,Walk
67,Walk
68,Walk
69,Walk
70,Walk
71,Walk
72,Walk
73,Walk
74,Walk
75,Walk
76,Walk
77,Walk
78,Walk
79,Walk
80,Walk
81,Walk
82,Walk
83,Walk
84,Walk
85,Walk
86,Walk
87,Walk
88,Walk
89,Walk
90,Walk
91,Walk
92,Walk
93,Walk
94,Walk
95,Walk
