,captions
0,Walk
1,Walk
2,Walk
3,Walk
4,Walk
5,Walk
6,Walk
7,Walk
8,Walk
9,Walk
10,Walk
11,Walk
12,Walk
13,Walk
14,Walk
15,Walk
16,Walk
17,Walk
18,Walk
19,Walk
20,Walk
21,Walk
22,Walk
23,Walk
24,Walk
25,Walk
26,Walk
27,Walk
28,Walk
29,Walk
30,Walk
31,Walk
32,Walk
33,Walk
34,Walk
35,Walk
36,Walk
37,Walk
38,Walk
39,Walk
40,Walk
41,Walk
42,Walk
43,Walk
44,Walk
45,Walk
46,Walk
47,Walk
48,Drink.From_cup
49,Drink.From_cup
50,Drink.From_cup
51,Drink.From_cup
52,Drink.From_cup
53,Drink.From_cup
54,Drink.From_cup
55,Drink.From_cup
56,Drink.From_cup
57,Drink.From_cup
58,Drink.From_cup
59,Drink.From_cup
60,Drink.From_cup
61,Drink.From_cup
62,Drink.From_cup
63,Drink.From_cup
64,Read
65,Read
66,Read
67,Read
68,Read
69,Read
70,Read
71,Read
72,Read
73,Read
74,Read
75,Read
76,Read
77,Read
78,Read
79,Read
80,Read
81,Read
82,Read
83,Read
84,Read
85,Read
86,Read
87,Read
88,Read
89,Read
90,Read
91,Read
92,Read
93,Read
94,Read
95,Read
