event,start_frame,end_frame
Use_tablet,0,3409
Get_up,3297,3340
Put_something_on_table,3326,3343
Take_something_off_table,3419,3434
Drink.From_cup,3425,3497
Put_something_on_table,3486,3503
Take_something_off_table,3515,3527
Take_something_off_table,3597,3609
Use_telephone,3601,3955
Put_something_on_table,3950,3959
Read,3991,4171
Sit_down,4186,4240
Put_something_on_table,4192,4200
Take_something_off_table,4202,4214
Use_tablet,4211,7050
Take_something_off_table,7020,7033
Put_something_on_table,7047,7057
Take_something_off_table,7098,7116
Drink.From_cup,7110,7198
Put_something_on_table,7189,7203
Write,7393,10590
Read,7393,10590
Get_up,10615,10658
Take_something_off_table,10674,10690
Use_telephone,10681,11396
Walk,10911,11488
Use_glasses,10918,10941
Put_something_on_table,11394,11407
Take_something_off_table,11503,11511
Drink.From_cup,11507,11580
Put_something_on_table,11571,11579
Walk,11888,12126
Take_something_off_table,12022,12031
Read,12043,19003
Use_glasses,12060,12074
Walk,12495,12804
Walk,12971,16098
Walk,16351,16562
Put_something_on_table,16568,16592
Sit_down,16568,16625
Use_glasses,18988,18996
Put_something_on_table,18996,19006
Get_up,19003,19032
Take_something_off_table,19049,19064
Use_telephone,19060,19657
Put_something_on_table,19649,19661
Sit_down,19724,19770
Take_something_off_table,19771,19780
Use_glasses,19782,19796
Read,19796,25254
