event,start_frame,end_frame
Use_tablet,0,3455
Get_up,3320,3363
Take_something_off_table,3347,3351
Put_something_on_table,3362,3368
Take_something_off_table,3459,3462
Drink.From_cup,3461,3516
Put_something_on_table,3521,3528
Take_something_off_table,3550,3557
Take_something_off_table,3628,3634
Use_telephone,3634,3977
Put_something_on_table,3991,3999
Take_something_off_table,4239,4248
Use_tablet,4242,7069
Sit_down,4242,4271
Take_something_off_table,7054,7068
Put_something_on_table,7087,7098
Take_something_off_table,7146,7155
Drink.From_cup,7151,7237
Put_something_on_table,7223,7237
Write,7423,8019
Read,8020,8583
Write,8583,8838
Read,8838,10630
Get_up,10654,10678
Take_something_off_table,10703,10727
Use_telephone,10707,11446
Walk,10961,11437
Take_something_off_table,11538,11547
Drink.From_cup,11540,11612
Put_something_on_table,11602,11613
Walk,11777,12018
Take_something_off_table,12046,12063
Walk,12074,12142
Read,12097,19039
Walk,12303,12370
Walk,12665,12856
Walk,13001,14204
Walk,14384,16123
Walk,16352,16595
Put_something_on_table,16599,16616
Sit_down,16606,16656
Put_something_on_table,19029,19039
Get_up,19040,19064
Take_something_off_table,19087,19107
Use_telephone,19100,19699
Put_something_on_table,19679,19699
Sit_down,19760,19809
Read,19835,25270
