event,start_frame,end_frame
Watch_TV,0,59
Take_something_off_table,121,136
Drink.From_can,130,283
Put_something_on_table,272,282
Read,316,376
Take_something_off_table,332,351
Put_something_on_table,374,382
Get_up,381,401
Take_something_off_table,440,452
Sit_down,602,623
Get_up,743,763
Sit_down,876,903
Use_telephone,1257,2344
Get_up,1328,1350
Walk,1361,1666
Walk,2020,2110
Walk,2199,2330
Put_something_on_table,2333,2359
Sit_down,2440,2463
Take_something_off_table,2463,2481
Drink.From_can,2475,2562
Put_something_on_table,2557,2575
Get_up,2675,2707
Take_something_off_table,2813,2830
Sit_down,2839,2864
Eat_snack,3276,3311
Watch_TV,3315,3535
Get_up,3503,3522
Sit_down,3636,3673
Take_something_off_table,3645,3660
Read,3687,6542
Take_something_off_table,6561,6576
Drink.From_can,6572,6704
Put_something_on_table,6690,6712
Watch_TV,6719,7123
Put_something_on_table,7122,7144
Take_something_off_table,7170,7195
Read,7173,7624
Take_something_off_table,7633,7667
Get_up,7686,7707
Sit_down,7900,7935
Take_something_off_table,7903,7917
Watch_TV,7953,8000
Put_something_on_table,7995,8009
Take_something_off_table,8019,8029
Drink.From_can,8023,8201
Put_something_on_table,8194,8208
Watch_TV,8232,9414
Get_up,9418,9448
Take_something_off_table,9465,9489
Sit_down,9508,9529
Use_laptop,9561,10342
Get_up,10360,10385
Put_something_on_table,10399,10424
Take_something_off_table,10443,10457
Watch_TV,10500,10859
Put_something_on_table,10892,10914
Walk,11015,11100
Leave,11043,11197
Enter,11317,11442
Walk,11396,11488
Sit_down,11502,11544
Take_something_off_table,11507,11524
Drink.From_can,11514,11627
Put_something_on_table,11625,11639
Get_up,11658,11688
Sit_down,11755,11783
Take_something_off_table,11769,11782
Take_something_off_table,11806,11822
Put_something_on_table,11880,11893
Get_up,11902,11926
Take_something_off_table,11914,11929
Use_telephone,11928,12381
Sit_down,11938,11958
Get_up,12335,12357
Put_something_on_table,12367,12387
Take_something_off_table,12391,12408
Sit_down,12410,12434
Read,12428,13431
Get_up,13427,13453
Put_something_on_table,13463,13483
Sit_down,13771,13805
Take_something_off_table,13808,13825
Read,13826,13951
Put_something_on_table,13952,13959
Get_up,14147,14164
Take_something_off_table,14427,14443
Sit_down,14427,14453
Read,14453,21088
Put_something_on_table,21094,21109
Take_something_off_table,21110,21133
Drink.From_can,21129,21205
Put_something_on_table,21195,21208
Get_up,21220,21249
Take_something_off_table,21272,21286
Use_telephone,21284,21610
Sit_down,21317,21334
Get_up,21564,21586
Put_something_on_table,21612,21631
Sit_down,21656,21678
Watch_TV,21760,23566
Lay_down,22420,22504
Get_up,22564,22589
Put_something_on_table,22575,22590
Lay_down,22592,22618
Get_up,23534,23587
Take_something_off_table,23593,23607
Drink.From_can,23604,23756
Put_something_on_table,23742,23762
Watch_TV,23777,26132
Take_something_off_table,26152,26166
Get_up,26173,26199
Take_something_off_table,26283,26303
Sit_down,26293,26311
Drink.From_can,26297,26380
Put_something_on_table,26372,26389
Watch_TV,26401,26430
