event,start_frame,end_frame
Enter,48,118
Walk,131,299
Walk,356,380
Put_something_on_table,383,391
Sit_down,384,409
Get_up,751,768
Walk,773,793
Walk,839,868
Sit_down,872,890
Take_something_off_table,903,912
Drink.From_cup,916,958
Put_something_on_table,957,964
Take_something_off_table,987,997
Take_something_off_table,1068,1076
Use_tablet,1083,2815
Eat_snack,2291,2324
Put_something_on_table,2326,2344
Get_up,2824,2844
Walk,2838,2859
Sit_down,2929,2950
Pour.From_bottle,2993,3090
Get_up,3161,3176
Walk,3176,3205
Walk,3237,3276
Sit_down,3277,3290
Take_something_off_table,3301,3315
Drink.From_cup,3314,3362
Put_something_on_table,3362,3384
Take_something_off_table,3397,3410
Use_tablet,3409,3806
Put_something_on_table,3807,3824
Take_something_off_table,3884,3904
Use_tablet,3905,4422
Put_something_on_table,4452,4466
Get_up,4483,4493
Walk,4494,4528
Take_something_off_table,4529,4544
Take_pills,4550,4763
Sit_down,4702,4712
Take_something_off_table,4716,4721
Drink.From_cup,4721,4763
Put_something_on_table,4758,4763
Get_up,4815,4828
Walk,4830,4874
Put_something_on_table,4879,4890
Walk,4899,4953
Sit_down,4954,4971
Take_something_off_table,4978,4999
Use_tablet,5001,6523
Put_something_on_table,6525,6533
Get_up,6531,6547
Walk,6549,6596
Take_something_off_table,6596,6602
Take_pills,6604,6757
Walk,6611,6656
Sit_down,6658,6671
Take_something_off_table,6757,6774
Drink.From_cup,6786,6825
Put_something_on_table,6818,6828
Get_up,6845,6864
Walk,6865,6906
Put_something_on_table,6905,6917
Walk,6931,6978
Sit_down,6979,6998
Take_something_off_table,7010,7022
Use_tablet,7023,9817
Put_something_on_table,9817,9835
Take_something_off_table,9851,9866
Drink.From_cup,9864,9921
Put_something_on_table,9911,9922
Get_up,9940,9956
Walk,9957,10002
Take_something_off_table,9995,10005
Take_pills,10008,10253
Walk,10018,10074
Sit_down,10075,10093
Take_something_off_table,10245,10256
Drink.From_cup,10254,10303
Take_something_off_table,10285,10299
Get_up,10313,10329
Walk,10330,10369
Put_something_on_table,10370,10382
Walk,10392,10435
Eat_snack,10441,10462
Sit_down,10454,10473
Take_something_off_table,10482,10501
Use_tablet,10497,11626
Take_something_off_table,11648,11666
Drink.From_cup,11656,11766
Put_something_on_table,11750,11768
Get_up,11903,11923
Walk,11927,11981
Take_something_off_table,11973,11986
Take_pills,11983,12153
Walk,11997,12045
Take_something_off_table,12152,12168
Drink.From_cup,12169,12206
Put_something_on_table,12202,12213
Get_up,12249,12261
Walk,12264,12312
Put_something_on_table,12298,12312
Walk,12327,12377
Eat_snack,12378,12393
Sit_down,12387,12409
Take_something_off_table,12434,12448
Read,12476,14362
Put_something_on_table,14349,14364
Get_up,14371,14386
Walk,14389,14433
Take_something_off_table,14427,14441
Take_pills,14434,14571
Walk,14454,14499
Sit_down,14504,14515
Take_something_off_table,14571,14589
Drink.From_cup,14595,14627
Put_something_on_table,14624,14636
Get_up,14648,14670
Walk,14670,14711
Put_something_on_table,14705,14720
Walk,14731,14782
Sit_down,14791,14809
Take_something_off_table,14795,14804
Use_tablet,14809,16609
Put_something_on_table,16611,16630
Take_something_off_table,16659,16672
Drink.From_cup,16668,16722
Put_something_on_table,16718,16735
Get_up,16754,16768
Walk,16775,16797
Walk,16842,16880
Sit_down,16877,16892
Pour.From_bottle,16946,17016
Get_up,17054,17072
Walk,17074,17095
Walk,17133,17185
Sit_down,17186,17205
Get_up,17205,17222
Walk,17223,17264
Take_something_off_table,17263,17275
Take_pills,17275,17427
Walk,17284,17328
Sit_down,17328,17349
Take_something_off_table,17430,17442
Drink.From_cup,17440,17480
Put_something_on_table,17476,17487
Get_up,17508,17525
Walk,17528,17567
Put_something_on_table,17556,17571
Walk,17580,17631
Sit_down,17640,17650
Take_something_off_table,17697,17723
Use_tablet,17726,18128
Put_something_on_table,18129,18154
Eat_snack,18158,18181
Take_something_off_table,18243,18264
Read,18267,19053
Put_something_on_table,19053,19089
Take_something_off_table,19098,19119
Use_tablet,19120,19419
Take_something_off_table,19447,19466
Drink.From_cup,19465,19518
Put_something_on_table,19509,19526
Get_up,19582,19603
Walk,19603,19657
Take_something_off_table,19643,19657
Take_pills,19658,19801
Walk,19675,19731
Sit_down,19735,19758
Take_something_off_table,19809,19819
Drink.From_cup,19817,19855
Put_something_on_table,19849,19861
Get_up,19880,19899
Walk,19900,19941
Put_something_on_table,19939,19953
Walk,19962,20017
Sit_down,20018,20036
Take_something_off_table,20053,20071
Use_tablet,20073,22237
Take_something_off_table,22274,22299
Drink.From_cup,22289,22349
Put_something_on_table,22336,22349
Get_up,22344,22360
Walk,22361,22383
Walk,22429,22467
Sit_down,22468,22501
Pour.From_bottle,22529,22604
Get_up,22698,22714
Walk,22715,22759
Walk,22778,22884
Take_something_off_table,22885,22897
Take_pills,22885,23038
Walk,22896,22961
Eat_snack,23041,23056
Take_something_off_table,23058,23081
Drink.From_cup,23076,23108
Put_something_on_table,23102,23120
Get_up,23134,23157
Walk,23161,23210
Put_something_on_table,23199,23219
Walk,23225,23279
Sit_down,23287,23309
Take_something_off_table,23318,23345
Use_tablet,23348,25503
Put_something_on_table,24559,24602
Get_up,25505,25532
Walk,25539,25593
Take_something_off_table,25587,25600
Take_pills,25594,25715
Walk,25602,25676
Take_something_off_table,25733,25745
Drink.From_cup,25744,25792
Put_something_on_table,25787,25797
Get_up,25812,25831
Walk,25832,25875
Put_something_on_table,25874,25886
Walk,25895,25952
Sit_down,25953,25983
Take_something_off_table,25990,26008
Use_tablet,26009,26322
