event,start_frame,end_frame
Use_tablet,0,15
Put_something_on_table,38,60
Watch_TV,61,294
Get_up,300,337
Walk,342,398
Leave,399,572
Enter,1272,1386
Walk,1404,1494
Take_something_off_table,1550,1562
Watch_TV,1576,1662
Put_something_on_table,1682,1702
Sit_down,1715,1774
Take_something_off_table,1794,1816
Use_tablet,1819,4852
Put_something_on_table,4857,4879
Take_something_off_table,4889,4906
Watch_TV,4896,5361
Put_something_on_table,5027,5047
Use_glasses,5369,5407
Put_something_on_table,5413,5447
Lay_down,5576,5646
Take_something_off_table,7840,7856
Watch_TV,7858,8104
Use_glasses,7871,7912
Take_something_off_table,8105,8120
Use_tablet,8121,8860
Watch_TV,8862,9753
Use_tablet,9756,15920
Put_something_on_table,15926,15958
Use_glasses,15966,15984
Put_something_on_table,15989,16009
Take_something_off_table,16010,16021
Watch_TV,16023,16056
Use_glasses,16032,16046
Watch_TV,16071,16078
Get_up,16093,16110
Walk,16115,16210
Leave,16201,16222
Enter,16867,16891
Walk,16882,16966
Walk,17027,17227
Sit_down,17386,17414
Eat_snack,17495,17564
Use_glasses,17581,17599
Put_something_on_table,17604,17626
Use_glasses,17629,17664
Take_something_off_table,17681,17708
Use_tablet,17708,21298
Put_something_on_table,21333,21365
Use_glasses,21410,21427
Put_something_on_table,21437,21465
Take_something_off_table,21486,21514
Watch_TV,21508,21533
Put_something_on_table,21534,21554
Lay_down,21765,21813
Take_something_off_table,26166,26186
Use_glasses,26236,26268
Take_something_off_table,26287,26317
Use_tablet,26338,26385
Use_tablet,26491,27794
Watch_TV,27795,27835
Use_tablet,27837,30189
Watch_TV,30189,30274
Use_tablet,30276,31754
